indice,dato,tipo_dato,descripcion,quintil,anyo,valor,secreto
Total Nacional, Índice general, Dato base, Gasto medio por hogar, Quintil 1,2009,14040.96,False
Total Nacional, Índice general, Dato base, Gasto medio por hogar, Quintil 1,2008,14402.46,False
Total Nacional, Índice general, Dato base, Gasto medio por hogar, Quintil 1,2007,13361.8,False
Total Nacional, Índice general, Dato base, Gasto medio por hogar, Quintil 1,2006,12108.35,False
Total Nacional, Índice general, Dato base, Gasto medio por hogar, Quintil 2,2023,23142.99,False
Total Nacional, Índice general, Dato base, Gasto medio por hogar, Quintil 2,2022,22322.55,False
Total Nacional, Índice general, Dato base, Gasto medio por hogar, Quintil 2,2021,20709.06,False
Total Nacional, Índice general, Dato base, Gasto medio por hogar, Quintil 2,2020,19161.27,False
Total Nacional, Índice general, Dato base, Gasto medio por hogar, Quintil 2,2019,20926.84,False
Total Nacional, Índice general, Dato base, Gasto medio por hogar, Quintil 2,2018,20609.07,False
Total Nacional, Índice general, Dato base, Gasto medio por hogar, Quintil 2,2017,20316.08,False
Total Nacional, Índice general, Dato base, Gasto medio por hogar, Quintil 2,2016,19734.9,False
Total Nacional, Índice general, Dato base, Gasto medio por hogar, Quintil 2,2015,19031.41,False
Total Nacional, Índice general, Dato base, Gasto medio por hogar, Quintil 2,2014,18873.76,False
Total Nacional, Índice general, Dato base, Gasto medio por hogar, Quintil 2,2013,19203.59,False
Total Nacional, Índice general, Dato base, Gasto medio por hogar, Quintil 2,2012,19839.6,False
Total Nacional, Índice general, Dato base, Gasto medio por hogar, Quintil 2,2011,20350.0,False
Total Nacional, Índice general, Dato base, Gasto medio por hogar, Quintil 2,2010,20483.66,False
Total Nacional, Índice general, Dato base, Gasto medio por hogar, Quintil 2,2009,21231.93,False
Total Nacional, Índice general, Dato base, Gasto medio por hogar, Quintil 2,2008,21960.25,False
Total Nacional, Índice general, Dato base, Gasto medio por hogar, Quintil 2,2007,21587.45,False
Total Nacional, Índice general, Dato base, Gasto medio por hogar, Quintil 2,2006,19959.86,False
Total Nacional, Índice general, Dato base, Gasto medio por hogar, Quintil 3,2023,29148.86,False
Total Nacional, Índice general, Dato base, Gasto medio por hogar, Quintil 3,2022,28424.17,False
Total Nacional, Índice general, Dato base, Gasto medio por hogar, Quintil 3,2021,26131.78,False
Total Nacional, Índice general, Dato base, Gasto medio por hogar, Quintil 3,2020,24287.32,False
Total Nacional, Índice general, Dato base, Gasto medio por hogar, Quintil 3,2019,27147.94,False
Total Nacional, Índice general, Dato base, Gasto medio por hogar, Quintil 3,2018,26834.26,False
Total Nacional, Índice general, Dato base, Gasto medio por hogar, Quintil 3,2017,26104.42,False
Total Nacional, Índice general, Dato base, Gasto medio por hogar, Quintil 3,2016,25253.66,False
Total Nacional, Índice general, Dato base, Gasto medio por hogar, Quintil 3,2015,24531.16,False
Total Nacional, Índice general, Dato base, Gasto medio por hogar, Quintil 3,2014,24250.95,False
Total Nacional, Índice general, Dato base, Gasto medio por hogar, Quintil 3,2013,24292.02,False
Total Nacional, Índice general, Dato base, Gasto medio por hogar, Quintil 3,2012,25401.46,False
Total Nacional, Índice general, Dato base, Gasto medio por hogar, Quintil 3,2011,26267.4,False
Total Nacional, Índice general, Dato base, Gasto medio por hogar, Quintil 3,2010,26261.31,False
Total Nacional, Índice general, Dato base, Gasto medio por hogar, Quintil 3,2009,27158.61,False
Total Nacional, Índice general, Dato base, Gasto medio por hogar, Quintil 3,2008,28356.68,False
Total Nacional, Índice general, Dato base, Gasto medio por hogar, Quintil 3,2007,28269.1,False
Total Nacional, Índice general, Dato base, Gasto medio por hogar, Quintil 3,2006,27039.36,False
Total Nacional, Índice general, Dato base, Gasto medio por hogar, Quintil 4,2023,37702.77,False
Total Nacional, Índice general, Dato base, Gasto medio por hogar, Quintil 4,2022,36654.13,False
Total Nacional, Índice general, Dato base, Gasto medio por hogar, Quintil 4,2021,33637.69,False
Total Nacional, Índice general, Dato base, Gasto medio por hogar, Quintil 4,2020,30649.64,False
Total Nacional, Índice general, Dato base, Gasto medio por hogar, Quintil 4,2019,35388.2,False
Total Nacional, Índice general, Dato base, Gasto medio por hogar, Quintil 4,2018,34853.77,False
Total Nacional, Índice general, Dato base, Gasto medio por hogar, Quintil 4,2017,33752.54,False
Total Nacional, Índice general, Dato base, Gasto medio por hogar, Quintil 4,2016,32714.11,False
Total Nacional, Índice general, Dato base, Gasto medio por hogar, Quintil 4,2015,31933.1,False
Total Nacional, Índice general, Dato base, Gasto medio por hogar, Quintil 4,2014,31431.47,False
Total Nacional, Índice general, Dato base, Gasto medio por hogar, Quintil 4,2013,31084.6,False
Total Nacional, Índice general, Dato base, Gasto medio por hogar, Quintil 4,2012,32494.24,False
Total Nacional, Índice general, Dato base, Gasto medio por hogar, Quintil 4,2011,33628.27,False
Total Nacional, Índice general, Dato base, Gasto medio por hogar, Quintil 4,2010,34368.6,False
Total Nacional, Índice general, Dato base, Gasto medio por hogar, Quintil 4,2009,34549.35,False
Total Nacional, Índice general, Dato base, Gasto medio por hogar, Quintil 4,2008,37048.29,False
Total Nacional, Índice general, Dato base, Gasto medio por hogar, Quintil 4,2007,36447.87,False
Total Nacional, Índice general, Dato base, Gasto medio por hogar, Quintil 4,2006,35960.24,False
Total Nacional, Índice general, Dato base, Gasto medio por hogar, Quintil 5,2023,57209.1,False
Total Nacional, Índice general, Dato base, Gasto medio por hogar, Quintil 5,2022,54863.8,False
Total Nacional, Índice general, Dato base, Gasto medio por hogar, Quintil 5,2021,51204.71,False
Total Nacional, Índice general, Dato base, Gasto medio por hogar, Quintil 5,2020,47382.97,False
Total Nacional, Índice general, Dato base, Gasto medio por hogar, Quintil 5,2019,53426.63,False
Total Nacional, Índice general, Dato base, Gasto medio por hogar, Quintil 5,2018,52983.35,False
Total Nacional, Índice general, Dato base, Gasto medio por hogar, Quintil 5,2017,52033.8,False
Total Nacional, Índice general, Dato base, Gasto medio por hogar, Quintil 5,2016,49866.99,False
Total Nacional, Índice general, Dato base, Gasto medio por hogar, Quintil 5,2015,48826.28,False
Total Nacional, Índice general, Dato base, Gasto medio por hogar, Quintil 5,2014,48207.46,False
Total Nacional, Índice general, Dato base, Gasto medio por hogar, Quintil 5,2013,48173.91,False
Total Nacional, Índice general, Dato base, Gasto medio por hogar, Quintil 5,2012,49678.66,False
Total Nacional, Índice general, Dato base, Gasto medio por hogar, Quintil 5,2011,51820.55,False
Total Nacional, Índice general, Dato base, Gasto medio por hogar, Quintil 5,2010,52502.4,False
Total Nacional, Índice general, Dato base, Gasto medio por hogar, Quintil 5,2009,54244.57,False
Total Nacional, Índice general, Dato base, Gasto medio por hogar, Quintil 5,2008,57095.42,False
Total Nacional, Índice general, Dato base, Gasto medio por hogar, Quintil 5,2007,58840.59,False
Total Nacional, Índice general, Dato base, Gasto medio por hogar, Quintil 5,2006,56326.11,False
Total Nacional, Índice general, Dato base, Gasto medio por persona, Total,2023,13120.1,False
Total Nacional, Índice general, Dato base, Gasto medio por persona, Total,2022,12779.54,False
Total Nacional, Índice general, Dato base, Gasto medio por persona, Total,2021,11779.97,False
Total Nacional, Índice general, Dato base, Gasto medio por persona, Total,2020,10848.22,False
Total Nacional, Índice general, Dato base, Gasto medio por persona, Total,2019,12151.5,False
Total Nacional, Índice general, Dato base, Gasto medio por persona, Total,2018,12018.94,False
Total Nacional, Índice general, Dato base, Gasto medio por persona, Total,2017,11726.36,False
Total Nacional, Índice general, Dato base, Gasto medio por persona, Total,2016,11312.41,False
Total Nacional, Índice general, Dato base, Gasto medio por persona, Total,2015,10981.77,False
Total Nacional, Índice general, Dato base, Gasto medio por persona, Total,2014,10780.1,False
Total Nacional, Índice general, Dato base, Gasto medio por persona, Total,2013,10715.52,False
Total Nacional, Índice general, Dato base, Gasto medio por persona, Total,2012,11012.21,False
Total Nacional, Índice general, Dato base, Gasto medio por persona, Total,2011,11280.88,False
Total Nacional, Índice general, Dato base, Gasto medio por persona, Total,2010,11275.86,False
Total Nacional, Índice general, Dato base, Gasto medio por persona, Total,2009,11439.02,False
Total Nacional, Índice general, Dato base, Gasto medio por persona, Total,2008,11895.05,False
Total Nacional, Índice general, Dato base, Gasto medio por persona, Total,2007,11757.59,False
Total Nacional, Índice general, Dato base, Gasto medio por persona, Total,2006,11127.92,False
Total Nacional, Índice general, Dato base, Gasto medio por persona, Quintil 1,2023,5443.29,False
Total Nacional, Índice general, Dato base, Gasto medio por persona, Quintil 1,2022,5478.39,False
Total Nacional, Índice general, Dato base, Gasto medio por persona, Quintil 1,2021,5023.9,False
Total Nacional, Índice general, Dato base, Gasto medio por persona, Quintil 1,2020,4629.76,False
Total Nacional, Índice general, Dato base, Gasto medio por persona, Quintil 1,2019,5077.48,False
Total Nacional, Índice general, Dato base, Gasto medio por persona, Quintil 1,2018,5088.53,False
Total Nacional, Índice general, Dato base, Gasto medio por persona, Quintil 1,2017,4980.52,False
Total Nacional, Índice general, Dato base, Gasto medio por persona, Quintil 1,2016,4841.69,False
Total Nacional, Índice general, Dato base, Gasto medio por persona, Quintil 1,2015,4578.52,False
Total Nacional, Índice general, Dato base, Gasto medio por persona, Quintil 1,2014,4490.47,False
Total Nacional, Índice general, Dato base, Gasto medio por persona, Quintil 1,2013,4563.22,False
Total Nacional, Índice general, Dato base, Gasto medio por persona, Quintil 1,2012,4760.4,False
Total Nacional, Índice general, Dato base, Gasto medio por persona, Quintil 1,2011,4892.04,False
Total Nacional, Índice general, Dato base, Gasto medio por persona, Quintil 1,2010,4901.89,False
Total Nacional, Índice general, Dato base, Gasto medio por persona, Quintil 1,2009,4974.53,False
Total Nacional, Índice general, Dato base, Gasto medio por persona, Quintil 1,2008,5278.99,False
Total Nacional, Índice general, Dato base, Gasto medio por persona, Quintil 1,2007,5068.3,False
Total Nacional, Índice general, Dato base, Gasto medio por persona, Quintil 1,2006,4612.75,False
Total Nacional, Índice general, Dato base, Gasto medio por persona, Quintil 2,2023,9009.73,False
Total Nacional, Índice general, Dato base, Gasto medio por persona, Quintil 2,2022,8952.8,False
Total Nacional, Índice general, Dato base, Gasto medio por persona, Quintil 2,2021,8226.31,False
Total Nacional, Índice general, Dato base, Gasto medio por persona, Quintil 2,2020,7538.69,False
Total Nacional, Índice general, Dato base, Gasto medio por persona, Quintil 2,2019,8344.92,False
Total Nacional, Índice general, Dato base, Gasto medio por persona, Quintil 2,2018,8238.77,False
Total Nacional, Índice general, Dato base, Gasto medio por persona, Quintil 2,2017,8087.76,False
Total Nacional, Índice general, Dato base, Gasto medio por persona, Quintil 2,2016,7842.03,False
Total Nacional, Índice general, Dato base, Gasto medio por persona, Quintil 2,2015,7598.67,False
Total Nacional, Índice general, Dato base, Gasto medio por persona, Quintil 2,2014,7370.95,False
Total Nacional, Índice general, Dato base, Gasto medio por persona, Quintil 2,2013,7343.76,False
Total Nacional, Índice general, Dato base, Gasto medio por persona, Quintil 2,2012,7618.84,False
Total Nacional, Índice general, Dato base, Gasto medio por persona, Quintil 2,2011,7719.47,False
Total Nacional, Índice general, Dato base, Gasto medio por persona, Quintil 2,2010,7720.53,False
Total Nacional, Índice general, Dato base, Gasto medio por persona, Quintil 2,2009,7788.5,False
Total Nacional, Índice general, Dato base, Gasto medio por persona, Quintil 2,2008,8027.77,False
Total Nacional, Índice general, Dato base, Gasto medio por persona, Quintil 2,2007,7731.11,False
Total Nacional, Índice general, Dato base, Gasto medio por persona, Quintil 2,2006,7220.58,False
Total Nacional, Índice general, Dato base, Gasto medio por persona, Quintil 3,2023,12122.49,False
Total Nacional, Índice general, Dato base, Gasto medio por persona, Quintil 3,2022,11826.3,False
Total Nacional, Índice general, Dato base, Gasto medio por persona, Quintil 3,2021,10796.48,False
Total Nacional, Índice general, Dato base, Gasto medio por persona, Quintil 3,2020,9907.5,False
Total Nacional, Índice general, Dato base, Gasto medio por persona, Quintil 3,2019,11013.4,False
Total Nacional, Índice general, Dato base, Gasto medio por persona, Quintil 3,2018,10859.41,False
Total Nacional, Índice general, Dato base, Gasto medio por persona, Quintil 3,2017,10618.29,False
Total Nacional, Índice general, Dato base, Gasto medio por persona, Quintil 3,2016,10326.71,False
Total Nacional, Índice general, Dato base, Gasto medio por persona, Quintil 3,2015,9976.74,False
Total Nacional, Índice general, Dato base, Gasto medio por persona, Quintil 3,2014,9749.28,False
Total Nacional, Índice general, Dato base, Gasto medio por persona, Quintil 3,2013,9719.77,False
Total Nacional, Índice general, Dato base, Gasto medio por persona, Quintil 3,2012,9985.37,False
Total Nacional, Índice general, Dato base, Gasto medio por persona, Quintil 3,2011,10187.42,False
Total Nacional, Índice general, Dato base, Gasto medio por persona, Quintil 3,2010,10108.54,False
Total Nacional, Índice general, Dato base, Gasto medio por persona, Quintil 3,2009,10240.36,False
Total Nacional, Índice general, Dato base, Gasto medio por persona, Quintil 3,2008,10516.46,False
Total Nacional, Índice general, Dato base, Gasto medio por persona, Quintil 3,2007,10226.82,False
Total Nacional, Índice general, Dato base, Gasto medio por persona, Quintil 3,2006,9551.93,False
Total Nacional, Índice general, Dato base, Gasto medio por persona, Quintil 4,2023,16086.38,False
Total Nacional, Índice general, Dato base, Gasto medio por persona, Quintil 4,2022,15401.54,False
Total Nacional, Índice general, Dato base, Gasto medio por persona, Quintil 4,2021,14279.47,False
Total Nacional, Índice general, Dato base, Gasto medio por persona, Quintil 4,2020,13138.42,False
Total Nacional, Índice general, Dato base, Gasto medio por persona, Quintil 4,2019,14602.67,False
Total Nacional, Índice general, Dato base, Gasto medio por persona, Quintil 4,2018,14289.75,False
Total Nacional, Índice general, Dato base, Gasto medio por persona, Quintil 4,2017,13905.55,False
Total Nacional, Índice general, Dato base, Gasto medio por persona, Quintil 4,2016,13414.58,False
Total Nacional, Índice general, Dato base, Gasto medio por persona, Quintil 4,2015,13234.53,False
Total Nacional, Índice general, Dato base, Gasto medio por persona, Quintil 4,2014,12923.91,False
Total Nacional, Índice general, Dato base, Gasto medio por persona, Quintil 4,2013,12901.75,False
Total Nacional, Índice general, Dato base, Gasto medio por persona, Quintil 4,2012,13059.36,False
Total Nacional, Índice general, Dato base, Gasto medio por persona, Quintil 4,2011,13398.21,False
Total Nacional, Índice general, Dato base, Gasto medio por persona, Quintil 4,2010,13236.02,False
Total Nacional, Índice general, Dato base, Gasto medio por persona, Quintil 4,2009,13482.34,False
Total Nacional, Índice general, Dato base, Gasto medio por persona, Quintil 4,2008,13726.34,False
Total Nacional, Índice general, Dato base, Gasto medio por persona, Quintil 4,2007,13525.52,False
Total Nacional, Índice general, Dato base, Gasto medio por persona, Quintil 4,2006,12840.26,False
Total Nacional, Índice general, Dato base, Gasto medio por persona, Quintil 5,2023,26053.91,False
Total Nacional, Índice general, Dato base, Gasto medio por persona, Quintil 5,2022,24587.55,False
Total Nacional, Índice general, Dato base, Gasto medio por persona, Quintil 5,2021,23004.96,False
Total Nacional, Índice general, Dato base, Gasto medio por persona, Quintil 5,2020,21526.73,False
Total Nacional, Índice general, Dato base, Gasto medio por persona, Quintil 5,2019,23992.68,False
Total Nacional, Índice general, Dato base, Gasto medio por persona, Quintil 5,2018,23559.29,False
Total Nacional, Índice general, Dato base, Gasto medio por persona, Quintil 5,2017,22718.99,False
Total Nacional, Índice general, Dato base, Gasto medio por persona, Quintil 5,2016,21779.32,False
Total Nacional, Índice general, Dato base, Gasto medio por persona, Quintil 5,2015,21383.04,False
Total Nacional, Índice general, Dato base, Gasto medio por persona, Quintil 5,2014,21333.56,False
Total Nacional, Índice general, Dato base, Gasto medio por persona, Quintil 5,2013,20976.29,False
Total Nacional, Índice general, Dato base, Gasto medio por persona, Quintil 5,2012,21452.86,False
Total Nacional, Índice general, Dato base, Gasto medio por persona, Quintil 5,2011,21800.77,False
Total Nacional, Índice general, Dato base, Gasto medio por persona, Quintil 5,2010,21825.79,False
Total Nacional, Índice general, Dato base, Gasto medio por persona, Quintil 5,2009,22079.07,False
Total Nacional, Índice general, Dato base, Gasto medio por persona, Quintil 5,2008,22873.57,False
Total Nacional, Índice general, Dato base, Gasto medio por persona, Quintil 5,2007,22686.5,False
Total Nacional, Índice general, Dato base, Gasto medio por persona, Quintil 5,2006,21795.99,False
Total Nacional, Índice general, Dato base, Distribución (porcentajes verticales), Total,2023,100.0,False
Total Nacional, Índice general, Dato base, Distribución (porcentajes verticales), Total,2022,100.0,False
Total Nacional, Índice general, Dato base, Distribución (porcentajes verticales), Total,2021,100.0,False
Total Nacional, Índice general, Dato base, Distribución (porcentajes verticales), Total,2020,100.0,False
Total Nacional, Índice general, Dato base, Distribución (porcentajes verticales), Total,2019,100.0,False
Total Nacional, Índice general, Dato base, Distribución (porcentajes verticales), Total,2018,100.0,False
Total Nacional, Índice general, Dato base, Distribución (porcentajes verticales), Total,2017,100.0,False
Total Nacional, Índice general, Dato base, Distribución (porcentajes verticales), Total,2016,100.0,False
Total Nacional, Índice general, Dato base, Distribución (porcentajes verticales), Total,2015,100.0,False
Total Nacional, Índice general, Dato base, Distribución (porcentajes verticales), Total,2014,100.0,False
Total Nacional, Índice general, Dato base, Distribución (porcentajes verticales), Total,2013,100.0,False
Total Nacional, Índice general, Dato base, Distribución (porcentajes verticales), Total,2012,100.0,False
Total Nacional, Índice general, Dato base, Distribución (porcentajes verticales), Total,2011,100.0,False
Total Nacional, Índice general, Dato base, Distribución (porcentajes verticales), Total,2010,100.0,False
Total Nacional, Índice general, Dato base, Distribución (porcentajes verticales), Total,2009,100.0,False
Total Nacional, Índice general, Dato base, Distribución (porcentajes verticales), Total,2008,100.0,False
Total Nacional, Índice general, Dato base, Distribución (porcentajes verticales), Total,2007,100.0,False
Total Nacional, Índice general, Dato base, Distribución (porcentajes verticales), Total,2006,100.0,False
Total Nacional, Índice general, Dato base, Distribución (porcentajes verticales), Quintil 1,2023,100.0,False
Total Nacional, Índice general, Dato base, Distribución (porcentajes verticales), Quintil 1,2022,100.0,False
Total Nacional, Índice general, Dato base, Distribución (porcentajes verticales), Quintil 1,2021,100.0,False
Total Nacional, Índice general, Dato base, Distribución (porcentajes verticales), Quintil 1,2020,100.0,False
Total Nacional, Índice general, Dato base, Distribución (porcentajes verticales), Quintil 1,2019,100.0,False
Total Nacional, Índice general, Dato base, Distribución (porcentajes verticales), Quintil 1,2018,100.0,False
Total Nacional, Índice general, Dato base, Distribución (porcentajes verticales), Quintil 1,2017,100.0,False
Total Nacional, Índice general, Dato base, Distribución (porcentajes verticales), Quintil 1,2016,100.0,False
Total Nacional, Índice general, Dato base, Distribución (porcentajes verticales), Quintil 1,2015,100.0,False
Total Nacional, Índice general, Dato base, Distribución (porcentajes verticales), Quintil 1,2014,100.0,False
Total Nacional, Índice general, Dato base, Distribución (porcentajes verticales), Quintil 1,2013,100.0,False
Total Nacional, Índice general, Dato base, Distribución (porcentajes verticales), Quintil 1,2012,100.0,False
Total Nacional, Índice general, Dato base, Distribución (porcentajes verticales), Quintil 1,2011,100.0,False
Total Nacional, Índice general, Dato base, Distribución (porcentajes verticales), Quintil 1,2010,100.0,False
Total Nacional, Índice general, Dato base, Distribución (porcentajes verticales), Quintil 1,2009,100.0,False
Total Nacional, Índice general, Dato base, Distribución (porcentajes verticales), Quintil 1,2008,100.0,False
Total Nacional, Índice general, Dato base, Distribución (porcentajes verticales), Quintil 1,2007,100.0,False
Total Nacional, Índice general, Dato base, Distribución (porcentajes verticales), Quintil 1,2006,100.0,False
Total Nacional, Índice general, Dato base, Distribución (porcentajes verticales), Quintil 2,2023,100.0,False
Total Nacional, Índice general, Dato base, Distribución (porcentajes verticales), Quintil 2,2022,100.0,False
Total Nacional, Índice general, Dato base, Distribución (porcentajes verticales), Quintil 2,2021,100.0,False
Total Nacional, Índice general, Dato base, Distribución (porcentajes verticales), Quintil 2,2020,100.0,False
Total Nacional, Índice general, Dato base, Distribución (porcentajes verticales), Quintil 2,2019,100.0,False
Total Nacional, Índice general, Dato base, Distribución (porcentajes verticales), Quintil 2,2018,100.0,False
Total Nacional, Índice general, Dato base, Distribución (porcentajes verticales), Quintil 2,2017,100.0,False
Total Nacional, Índice general, Dato base, Distribución (porcentajes verticales), Quintil 2,2016,100.0,False
Total Nacional, Índice general, Dato base, Distribución (porcentajes verticales), Quintil 2,2015,100.0,False
Total Nacional, Índice general, Dato base, Distribución (porcentajes verticales), Quintil 2,2014,100.0,False
Total Nacional, Índice general, Dato base, Distribución (porcentajes verticales), Quintil 2,2013,100.0,False
Total Nacional, Índice general, Dato base, Distribución (porcentajes verticales), Quintil 2,2012,100.0,False
Total Nacional, Índice general, Dato base, Distribución (porcentajes verticales), Quintil 2,2011,100.0,False
Total Nacional, Índice general, Dato base, Distribución (porcentajes verticales), Quintil 2,2010,100.0,False
Total Nacional, Índice general, Dato base, Distribución (porcentajes verticales), Quintil 2,2009,100.0,False
Total Nacional, Índice general, Dato base, Distribución (porcentajes verticales), Quintil 2,2008,100.0,False
Total Nacional, Índice general, Dato base, Distribución (porcentajes verticales), Quintil 2,2007,100.0,False
Total Nacional, Índice general, Dato base, Distribución (porcentajes verticales), Quintil 2,2006,100.0,False
Total Nacional, Índice general, Dato base, Distribución (porcentajes verticales), Quintil 3,2023,100.0,False
Total Nacional, Índice general, Dato base, Distribución (porcentajes verticales), Quintil 3,2022,100.0,False
Total Nacional, Índice general, Dato base, Distribución (porcentajes verticales), Quintil 3,2021,100.0,False
Total Nacional, Índice general, Dato base, Distribución (porcentajes verticales), Quintil 3,2020,100.0,False
Total Nacional, Índice general, Dato base, Distribución (porcentajes verticales), Quintil 3,2019,100.0,False
Total Nacional, Índice general, Dato base, Distribución (porcentajes verticales), Quintil 3,2018,100.0,False
Total Nacional, Índice general, Dato base, Distribución (porcentajes verticales), Quintil 3,2017,100.0,False
Total Nacional, Índice general, Dato base, Distribución (porcentajes verticales), Quintil 3,2016,100.0,False
Total Nacional, Índice general, Dato base, Distribución (porcentajes verticales), Quintil 3,2015,100.0,False
Total Nacional, Índice general, Dato base, Distribución (porcentajes verticales), Quintil 3,2014,100.0,False
Total Nacional, Índice general, Dato base, Distribución (porcentajes verticales), Quintil 3,2013,100.0,False
Total Nacional, Índice general, Dato base, Distribución (porcentajes verticales), Quintil 3,2012,100.0,False
Total Nacional, Índice general, Dato base, Distribución (porcentajes verticales), Quintil 3,2011,100.0,False
Total Nacional, Índice general, Dato base, Distribución (porcentajes verticales), Quintil 3,2010,100.0,False
Total Nacional, Índice general, Dato base, Distribución (porcentajes verticales), Quintil 3,2009,100.0,False
Total Nacional, Índice general, Dato base, Distribución (porcentajes verticales), Quintil 3,2008,100.0,False
Total Nacional, Índice general, Dato base, Distribución (porcentajes verticales), Quintil 3,2007,100.0,False
Total Nacional, Índice general, Dato base, Distribución (porcentajes verticales), Quintil 3,2006,100.0,False
Total Nacional, Índice general, Dato base, Distribución (porcentajes verticales), Quintil 4,2023,100.0,False
Total Nacional, Índice general, Dato base, Distribución (porcentajes verticales), Quintil 4,2022,100.0,False
Total Nacional, Índice general, Dato base, Distribución (porcentajes verticales), Quintil 4,2021,100.0,False
Total Nacional, Índice general, Dato base, Distribución (porcentajes verticales), Quintil 4,2020,100.0,False
Total Nacional, Índice general, Dato base, Distribución (porcentajes verticales), Quintil 4,2019,100.0,False
Total Nacional, Índice general, Dato base, Distribución (porcentajes verticales), Quintil 4,2018,100.0,False
Total Nacional, Índice general, Dato base, Distribución (porcentajes verticales), Quintil 4,2017,100.0,False
Total Nacional, Índice general, Dato base, Distribución (porcentajes verticales), Quintil 4,2016,100.0,False
Total Nacional, Índice general, Dato base, Distribución (porcentajes verticales), Quintil 4,2015,100.0,False
Total Nacional, Índice general, Dato base, Distribución (porcentajes verticales), Quintil 4,2014,100.0,False
Total Nacional, Índice general, Dato base, Distribución (porcentajes verticales), Quintil 4,2013,100.0,False
Total Nacional, Índice general, Dato base, Distribución (porcentajes verticales), Quintil 4,2012,100.0,False
Total Nacional, Índice general, Dato base, Distribución (porcentajes verticales), Quintil 4,2011,100.0,False
Total Nacional, Índice general, Dato base, Distribución (porcentajes verticales), Quintil 4,2010,100.0,False
Total Nacional, Índice general, Dato base, Distribución (porcentajes verticales), Quintil 4,2009,100.0,False
Total Nacional, Índice general, Dato base, Distribución (porcentajes verticales), Quintil 4,2008,100.0,False
Total Nacional, Índice general, Dato base, Distribución (porcentajes verticales), Quintil 4,2007,100.0,False
Total Nacional, Índice general, Dato base, Distribución (porcentajes verticales), Quintil 4,2006,100.0,False
Total Nacional, Índice general, Dato base, Distribución (porcentajes verticales), Quintil 5,2023,100.0,False
Total Nacional, Índice general, Dato base, Distribución (porcentajes verticales), Quintil 5,2022,100.0,False
Total Nacional, Índice general, Dato base, Distribución (porcentajes verticales), Quintil 5,2021,100.0,False
Total Nacional, Índice general, Dato base, Distribución (porcentajes verticales), Quintil 5,2020,100.0,False
Total Nacional, Índice general, Dato base, Distribución (porcentajes verticales), Quintil 5,2019,100.0,False
Total Nacional, Índice general, Dato base, Distribución (porcentajes verticales), Quintil 5,2018,100.0,False
